effect,bri,watt
Fall,215,2.5
Fall,225,2.6
Fall,235,2.62
Fall,245,2.52
Fall,255,2.52
Father's Day,5,2.6
Father's Day,15,2.55
Father's Day,25,2.5
Father's Day,35,2.6
Father's Day,45,2.52
Father's Day,55,2.62
Father's Day,65,2.6
Father's Day,75,2.55
Father's Day,85,2.58
Father's Day,95,2.52
Father's Day,105,2.6
Father's Day,115,2.55
Father's Day,125,2.55
Father's Day,135,2.58
Father's Day,145,2.52
Father's Day,155,2.52
Father's Day,165,2.48
Father's Day,175,2.5
Father's Day,185,2.48
Father's Day,195,2.45
Father's Day,205,2.58
Father's Day,215,2.45
Father's Day,225,2.52
Father's Day,235,2.52
Father's Day,245,2.58
Father's Day,255,2.42
Fight,5,2.48
Fight,15,2.45
Fight,25,2.55
Fight,35,2.42
Fight,45,2.52
Fight,55,2.48
Fight,65,2.58
Fight,75,2.52
Fight,85,2.62
Fight,95,2.62
Fight,105,2.65
Fight,115,2.7
Fight,125,2.65
Fight,135,2.77
Fight,145,2.77
Fight,155,2.8
Fight,165,2.77
Fight,175,2.85
Fight,185,2.8
Fight,195,2.85
Fight,205,2.8
Fight,215,2.75
Fight,225,2.77
Fight,235,2.77
Fight,245,2.9
Fight,255,2.92
Fire,5,2.98
Fire,15,3
Fire,25,2.98
Fire,35,3
Fire,45,3
Fire,55,2.98
Fire,65,3.02
Fire,75,2.95
Fire,85,2.98
Fire,95,3.02
Fire,105,2.98
Fire,115,2.95
Fire,125,3
Fire,135,2.92
Fire,145,3.02
Fire,155,3.02
Fire,165,2.95
Fire,175,3.08
Fire,185,3.08
Fire,195,3.1
Fire,205,2.98
Fire,215,3.1
Fire,225,2.95
Fire,235,3.1
Fire,245,3.05
Fire,255,2.92
Fireworks,5,2.95
Fireworks,15,3.05
Fireworks,25,2.95
Fireworks,35,2.95
Fireworks,45,3.1
Fireworks,55,2.92
Fireworks,65,3.08
Fireworks,75,3.05
Fireworks,85,3
Fireworks,95,3.1
Fireworks,105,2.98
Fireworks,115,3.35
Fireworks,125,3
Fireworks,135,2.98
Fireworks,145,3.17
Fireworks,155,2.98
Fireworks,165,3.08
Fireworks,175,2.98
Fireworks,185,3.02
Fireworks,195,3.05
Fireworks,205,3.02
Fireworks,215,3.08
Fireworks,225,2.95
Fireworks,235,3.05
Fireworks,245,3.1
Fireworks,255,3.02
Flash,5,3.05
Flash,15,3.08
Flash,25,3.05
Flash,35,3.08
Flash,45,3.08
Flash,55,3
Flash,65,3.05
Flash,75,3
Flash,85,3
Flash,95,2.92
Flash,105,3
Flash,115,3.02
Flash,125,2.88
Flash,135,2.95
Flash,145,2.88
Flash,155,2.95
Flash,165,2.95
Flash,175,2.88
Flash,185,2.95
Flash,195,2.77
Flash,205,2.85
Flash,215,2.82
Flash,225,2.68
Flash,235,2.77
Flash,245,2.62
Flash,255,2.73
Flow,5,2.65
Flow,15,2.7
Flow,25,2.6
Flow,35,2.62
Flow,45,2.62
Flow,55,2.6
Flow,65,2.62
Flow,75,2.55
Flow,85,2.5
Flow,95,2.5
Flow,105,2.5
Flow,115,2.45
Flow,125,2.4
Flow,135,2.42
Flow,145,2.42
Flow,155,2.52
Flow,165,2.45
Flow,175,2.4
Flow,185,2.45
Flow,195,2.45
Flow,205,2.48
Flow,215,2.45
Flow,225,2.45
Flow,235,2.42
Flow,245,2.5
Flow,255,2.38
Flower Field,5,2.42
Flower Field,15,2.4
Flower Field,25,2.4
Flower Field,35,2.4
Flower Field,45,2.4
Flower Field,55,2.48
Flower Field,65,2.45
Flower Field,75,2.42
Flower Field,85,2.4
Flower Field,95,2.45
Flower Field,105,2.4
Flower Field,115,2.42
Flower Field,125,2.42
Flower Field,135,2.38
Flower Field,145,2.45
Flower Field,155,2.38
Flower Field,165,2.38
Flower Field,175,2.38
Flower Field,185,2.32
Flower Field,195,2.4
Flower Field,205,2.32
Flower Field,215,2.42
Flower Field,225,2.35
Flower Field,235,2.3
Flower Field,245,2.4
Flower Field,255,2.32
Forest,5,2.32
Forest,15,2.35
Forest,25,2.45
Forest,35,2.32
Forest,45,2.42
Forest,55,2.4
Forest,65,2.42
Forest,75,2.45
Forest,85,2.45
Forest,95,2.5
Forest,105,2.52
Forest,115,2.58
Forest,125,2.58
Forest,135,2.55
Forest,145,2.7
Forest,155,2.6
Forest,165,2.67
Forest,175,2.65
Forest,185,2.75
Forest,195,2.73
Forest,205,2.73
Forest,215,2.8
Forest,225,2.75
Forest,235,2.75
Forest,245,2.82
Forest,255,2.77
Game,5,2.85
Game,15,2.9
Game,25,2.95
Game,35,2.88
Game,45,3
Game,55,2.92
Game,65,3.02
Game,75,2.95
Game,85,2.95
Game,95,3.17
Game,105,3
Game,115,3.12
Game,125,3.1
Game,135,2.95
Game,145,3.1
Game,155,3
Game,165,3.12
Game,175,3.12
Game,185,3.1
Game,195,3.23
Game,205,3.08
Game,215,3.23
Game,225,3.28
Game,235,3.08
Game,245,3.23
Game,255,3.15
Glacier,5,3.15
Glacier,15,3.25
Glacier,25,3.17
Glacier,35,3.1
Glacier,45,3.2
Glacier,55,3.18
Glacier,65,3.12
Glacier,75,3.17
Glacier,85,3.23
Glacier,95,3.15
Glacier,105,3.2
Glacier,115,3.2
Glacier,125,3.23
Glacier,135,3.17
Glacier,145,3.22
Glacier,155,3.23
Glacier,165,3.3
Glacier,175,3.25
Glacier,185,3.27
Glacier,195,3.15
Glacier,205,3.17
Glacier,215,3.25
Glacier,225,3.17
Glacier,235,3.2
Glacier,245,3.2
Glacier,255,3.2
Gobi Desert,5,3.27
Gobi Desert,15,3.23
Gobi Desert,25,2.95
Gobi Desert,35,2.82
Gobi Desert,45,2.92
Gobi Desert,55,2.88
Gobi Desert,65,2.92
Gobi Desert,75,2.82
Gobi Desert,85,2.83
Gobi Desert,95,2.85
Gobi Desert,105,2.77
Gobi Desert,115,2.77
Gobi Desert,125,2.75
Gobi Desert,135,2.7
Gobi Desert,145,2.8
Gobi Desert,155,2.65
Gobi Desert,165,2.8
Gobi Desert,175,2.73
Gobi Desert,185,2.67
Gobi Desert,195,2.7
Gobi Desert,205,2.62
Gobi Desert,215,2.67
Gobi Desert,225,2.67
Gobi Desert,235,2.62
Gobi Desert,245,2.6
Gobi Desert,255,2.62
Halloween,5,2.58
Halloween,15,2.55
Halloween,25,2.5
Halloween,35,2.52
Halloween,45,2.48
Halloween,55,2.55
Halloween,65,2.45
Halloween,75,2.5
Halloween,85,2.48
Halloween,95,2.42
Halloween,105,2.42
Halloween,115,2.42
Halloween,125,2.35
Halloween,135,2.38
Halloween,145,2.32
Halloween,155,2.35
Halloween,165,2.35
Halloween,175,2.3
Halloween,185,2.3
Halloween,195,2.27
Halloween,205,2.27
Halloween,215,2.25
Halloween,225,2.23
Halloween,235,2.23
Halloween,245,2.15
Halloween,255,2.18
Happy,5,2.12
Happy,15,2.1
Happy,25,2.1
Happy,35,2.12
Happy,45,2.12
Happy,55,2.12
Happy,65,2.1
Happy,75,2.15
Happy,85,2.12
Happy,95,2.15
Happy,105,2.17
Happy,115,2.15
Happy,125,2.15
Happy,135,2.12
Happy,145,2.15
Happy,155,2.18
Happy,165,2.18
Happy,175,2.15
Happy,185,2.12
Happy,195,2.18
Happy,205,2.15
Happy,215,2.2
Happy,225,2.18
Happy,235,2.25
Happy,245,2.25
Happy,255,2.23
Heartbeat,5,2.18
Heartbeat,15,2.25
Heartbeat,25,2.23
Heartbeat,35,2.25
Heartbeat,45,2.27
Heartbeat,55,2.27
Heartbeat,65,2.35
Heartbeat,75,2.32
Heartbeat,85,2.3
Heartbeat,95,2.35
Heartbeat,105,2.32
Heartbeat,115,2.48
Heartbeat,125,2.4
Heartbeat,135,2.45
Heartbeat,145,2.52
Heartbeat,155,2.5
Heartbeat,165,2.55
Heartbeat,175,2.52
Heartbeat,185,2.55
Heartbeat,195,2.58
Heartbeat,205,2.58
Heartbeat,215,2.65
Heartbeat,225,2.58
Heartbeat,235,2.62
Heartbeat,245,2.7
Heartbeat,255,2.65
Karst Cave,5,2.68
Karst Cave,15,2.73
Karst Cave,25,2.77
Karst Cave,35,2.8
Karst Cave,45,2.85
Karst Cave,55,2.75
Karst Cave,65,2.92
Karst Cave,75,2.77
Karst Cave,85,2.9
Karst Cave,95,2.82
Karst Cave,105,2.88
Karst Cave,115,2.9
Karst Cave,125,2.88
Karst Cave,135,2.88
Karst Cave,145,2.9
Karst Cave,155,2.92
Karst Cave,165,2.98
Karst Cave,175,2.85
Karst Cave,185,3.02
Karst Cave,195,2.92
Karst Cave,205,3
Karst Cave,215,3.15
Karst Cave,225,3.08
Karst Cave,235,2.98
Karst Cave,245,3.15
Karst Cave,255,3.15
Leisure,5,3.17
Leisure,15,3.08
Leisure,25,3.05
Leisure,35,3.12
Leisure,45,3.02
Leisure,55,3.12
Leisure,65,3.05
Leisure,75,3.25
Leisure,85,3.12
Leisure,95,3.35
Leisure,105,3.12
Leisure,115,3.25
Leisure,125,3.3
Leisure,135,3.23
Leisure,145,3.2
Leisure,155,3.17
Leisure,165,3.3
Leisure,175,3.15
Leisure,185,3.17
Leisure,195,3.12
Leisure,205,3.08
Leisure,215,3.1
Leisure,225,3.05
Leisure,235,3.23
Leisure,245,3.17
Leisure,255,3.12
Lightning,5,3.08
Lightning,15,3.17
Lightning,25,3
Lightning,35,3.1
Lightning,45,3.08
Lightning,55,3.08
Lightning,65,3.1
Lightning,75,3
Lightning,85,3.08
Lightning,95,3
Lightning,105,2.95
Lightning,115,2.95
Lightning,125,2.88
Lightning,135,2.95
Lightning,145,2.88
Lightning,155,2.82
Lightning,165,2.9
Lightning,175,2.85
Lightning,185,2.88
Lightning,195,2.85
Lightning,205,2.95
Lightning,215,2.77
Lightning,225,2.88
Lightning,235,2.8
Lightning,245,2.77
Lightning,255,2.77
Longing,5,2.8
Longing,15,2.7
Longing,25,2.7
Longing,35,2.73
Longing,45,2.73
Longing,55,2.65
Longing,65,2.68
Longing,75,2.65
Longing,85,2.65
Longing,95,2.65
Longing,105,2.65
Longing,115,2.67
Longing,125,2.6
Longing,135,2.6
Longing,145,2.5
Longing,155,2.58
Longing,165,2.5
Longing,175,2.55
Longing,185,2.48
Longing,195,2.4
Longing,205,2.42
Longing,215,2.42
Longing,225,2.42
Longing,235,2.38
Longing,245,2.35
Longing,255,2.38
Meditation,5,2.35
Meditation,15,2.32
Meditation,25,2.25
Meditation,35,2.25
Meditation,45,2.25
Meditation,55,2.25
Meditation,65,2.25
Meditation,75,2.18
Meditation,85,2.12
Meditation,95,2.18
Meditation,105,2.12
Meditation,115,2.1
Meditation,125,2.1
Meditation,135,2.02
Meditation,145,2.05
Meditation,155,2
Meditation,165,2
Meditation,175,2.05
Meditation,185,2
Meditation,195,1.98
Meditation,205,1.95
Meditation,215,1.9
Meditation,225,1.98
Meditation,235,1.95
Meditation,245,1.98
Meditation,255,1.98
Meteor shower,5,2.02
Meteor shower,15,1.98
Meteor shower,25,2.02
Meteor shower,35,2.02
Meteor shower,45,2.02
Meteor shower,55,2.05
Meteor shower,65,2.05
Meteor shower,75,2.1
Meteor shower,85,2.1
Meteor shower,95,2.1
Meteor shower,105,2.18
Meteor shower,115,2.1
Meteor shower,125,2.18
Meteor shower,135,2.18
Meteor shower,145,2.23
Meteor shower,155,2.25
Meteor shower,165,2.23
Meteor shower,175,2.32
Meteor shower,185,2.25
Meteor shower,195,2.27
Meteor shower,205,2.32
Meteor shower,215,2.32
Meteor shower,225,2.35
Meteor shower,235,2.38
Meteor shower,245,2.38
Meteor shower,255,2.45
Moonlight,5,2.48
Moonlight,15,2.42
Moonlight,25,2.45
Moonlight,35,2.52
Moonlight,45,2.52
Moonlight,55,2.55
Moonlight,65,2.55
Moonlight,75,2.6
Moonlight,85,2.58
Moonlight,95,2.62
Moonlight,105,2.65
Moonlight,115,2.58
Moonlight,125,2.65
Moonlight,135,2.65
Moonlight,145,2.65
Moonlight,155,2.65
Moonlight,165,2.68
Moonlight,175,2.73
Moonlight,185,2.67
Moonlight,195,2.75
Moonlight,205,2.78
Moonlight,215,2.73
Moonlight,225,2.85
Moonlight,235,2.77
Moonlight,245,2.83
Moonlight,255,2.8
Morning,5,2.92
Morning,15,2.77
Morning,25,2.83
Morning,35,2.88
Morning,45,2.85
Morning,55,2.88
Morning,65,2.82
Morning,75,2.95
Morning,85,2.9
Morning,95,2.95
Morning,105,3.08
Morning,115,2.95
Morning,125,3.05
Morning,135,2.87
Morning,145,3
Morning,155,3.1
